,formatted_rules,cleaned_rules,lang
268,"Ce serveur n'accepte aucune forme de harcèlement ou de haine à l'encontre d'une minorité ou d'un.e utilisat.eur.rice.
Il y est donc interdit toute forme de sexisme, racisme, homophobie, transphobie, validisme, etc...
Ici on discute et on partage dans le respect et la bonne humeur (relative).",ce serveur naccepte aucune forme de harcèlement ou de haine à lencontre dune minorité ou dune utilisateurrice il y est donc interdit toute forme de sexisme racisme homophobie transphobie validisme etc ici on discute et on partage dans le respect et la bonne humeur relative,non-Englsih
269,本站规则都在站长脑子里,本站规则都在站长脑子里,non-Englsih
270,如有异议请参照第一条规则,如有异议请参照第一条规则,non-Englsih
271,"Soyez sympa. Nous encourageons la liberté d’opinion et d’expression, et les débats sont bienvenus tant qu’ils restent courtois. Traitez les autres membres encore mieux que vous n’aimeriez être traité.",soyez sympa nous encourageons la liberté dopinion et dexpression et les débats sont bienvenus tant quils restent courtois traitez les autres membres encore mieux que vous naimeriez être traité,non-Englsih
272,"Évitez le flood et le spam. Évitez le flood, les chaines de messages, et le copypasta. Donnez quelques explications, même en deux mots, lorsque vous partagez un lien.",évitez le flood et le spam évitez le flood les chaines de messages et le copypasta donnez quelques explications même en deux mots lorsque vous partagez un lien,non-Englsih
273,"Évitez la publicité. Nous n’acceptons aucune forme de publicité sous quelque forme que ce soit. Intervenez uniquement à titre personnel, évitez d’intervenir comme le représentant d’une entreprise.",évitez la publicité nous nacceptons aucune forme de publicité sous quelque forme que ce soit intervenez uniquement à titre personnel évitez dintervenir comme le représentant dune entreprise,non-Englsih
274,"Évitez les contenus « adultes ». Certains membres ont moins de 18 ans. Évitez les contenus « adultes », qu’il s’agisse de contenus à connotation pornographique, de contenus particulièrement choquants ou violents, ou de contenus visant à la manipulation émotionnelle.",évitez les contenus adultes certains membres ont moins de 18 ans évitez les contenus adultes quil sagisse de contenus à connotation pornographique de contenus particulièrement choquants ou violents ou de contenus visant à la manipulation émotionnelle,non-Englsih
275,"Évitez les contenus illégaux. N’incitez pas au piratage de contenus, et ne partagez pas de ressources portant atteinte à la propriété intellectuelle.",évitez les contenus illégaux nincitez pas au piratage de contenus et ne partagez pas de ressources portant atteinte à la propriété intellectuelle,non-Englsih
276,"Évitez les sujets inflammables. Nous sommes contraints, pour éviter de surcharger la modération, de proscrire les discussions portant sur la politique et la religion. Dirigez-vous vers d’autres instances pour discuter de ces sujets.",évitez les sujets inflammables nous sommes contraints pour éviter de surcharger la modération de proscrire les discussions portant sur la politique et la religion dirigezvous vers dautres instances pour discuter de ces sujets,non-Englsih
277,"Respectez les autres membres. Évitez le langage SMS et les abréviations que vous êtes le seul à comprendre. 
Ne mentionnez pas les administrateurs et les modérateurs à tout bout de champ. Ne harcelez pas les membres de manière publique ou privée.",respectez les autres membres évitez le langage sms et les abréviations que vous êtes le seul à comprendre ne mentionnez pas les administrateurs et les modérateurs à tout bout de champ ne harcelez pas les membres de manière publique ou privée,non-Englsih
278,Respectez les modérateurs. Ne vous faites pas passer pour un salarié de MacGeneration. Ne harcelez pas les administrateurs et les modérateurs. Respectez les décisions de modération.,respectez les modérateurs ne vous faites pas passer pour un salarié de macgeneration ne harcelez pas les administrateurs et les modérateurs respectez les décisions de modération,non-Englsih
279,No advertising or excessive promotion.,no advertising or excessive promotion,English
280,"No bots, unless they're cute, funny, or useful. Bots should avoid posting to the public timeline. If you're unsure, speak to a moderator.",no bots unless theyre cute funny or useful bots should avoid posting to the public timeline if youre unsure speak to a moderator,English
281,No pornography or adult content.,no pornography or adult content,English
282,No gore or graphic violence.,no gore or graphic violence,English
283,Content that is borderline NSFW or could be construed as NSFW at a glance should be put behind a Content Warning (CW).,content that is borderline nsfw or could be construed as nsfw at a glance should be put behind a content warning cw,English
